owner,NAMASTE
6uMboxpv6qtTLubvbYt7pwYdvCyDo7TzaBZpmr1H7js5,1
2pjo4Lx1agEBhRf4kT4B8gH7UFYVd5SBAeVeDApKWvwq,1
JSBv4NjAkW1cs2MkKqrLo6tdKkqhPunVXwSoXLydF6T,1
NAMAwQdE7iDocuZWvbWHy74MhXyKFVfgmkphAoozzaW,1
6bLKNjr9hK4HZbZ8iimTynbhLiJfuCzmmmgfgFspSYY3,2
49wTveYezYS8AFvd93KXuSP4eVmvh9ZwiHp23Lj9TWM1,1
D3ssUWuKoou1PRyUVDfCqWtZyJw2gxcrNQ2G9QCkFq2w,1
Dczbny4xvVb8KU5HFWDbTTuDYoSp8tiSopoba38QjLEj,1
AVSFyeDdaVRU2bNpoYZjNZUqtbT2tzTLkP4SRYNMqShu,1
DgKWmssQt2DJHHi3ykRkg4S1r7Ed1ozZEwdJdUwpb2a6,1
Dc2nkZBMFhwJrf6gdjvuBMXtowVDEaAdMsDGJPsKwJei,1
95iR3EfYnWmuTtUWXQ8C7D6nRYbdXdVgNLsjtWN1By54,1
BACJ68NuawFRuMbg5d4ooeSwoXZrHUeif88ocw7tBM5P,1
FSkUFA3rKv4pqQe1qA3QJbCf1ZDLNqYea3uwkCtAc4S6,1
HUp5pi5zco7QP47GJtskUfqsuWnDHit7Lgc5ZQcCk5h6,1
AzRmA3VrjiHM5dfFG6kPCwTuyhRpTnUmSRut9qNFudVy,1
EzDfrh6VS6LzmfuNGaXkVxGwkQJLNCsMqeLdYRG4Y8GD,1
2iy1ejLZtrjpmNeUveBUeMJe395ECrFpXcNved3BBkwo,1
BaqLQ8tkqmYKziV9bxRPMzUdr11xUjgnT2qV7KUxAtRm,1
2rBJYTNXR7XFuecD5xxQhgLS2T47g7pSi4sWUd1B5czn,1
7bSrmPXYSg73BiDkhoDs7DHRTJ8crhWPHkymVboSkkd4,7
2R2vmFRhKnwdLo6Rhr9u5o9jr7GGd4HSxTvKNQHnrnpL,1
FxgNeoRwdLHq1oSAwSxDvSfSFrBfygnR3wUFMfVYzrNV,1
AKqTBz4Pz1HQYTWMhxBuLJ4MZCozQBunhRT5DuZWe44U,1
7M4ihTduWciBykzMrrWDefX9gaFG5UmnEW5NGTsnDcX7,1
ACp8wu7djR9zNgY7kwJtuRUZQtjTX8BvmRzYRFFi84vu,1
FoMBKn7YN52YrA3vV7sMn9VCAsAw4nMWBYc6q6HKtYgA,1
7Rp51HCQBf3TFivfqMk65pAKbtogwrUpEAtfN3f8Ciz2,1
pNybTr6rzsoPYpfVsZhTyRFHnM85M3oFi42geBfuua5,1
5kL5mzA89ruX6hyizwBtQGS55iFajyvMXEwJDyfUU6nD,2
8SbUxqaRxJq9mA3CNLYGDLfUYs7ugYZaebkX5gsf3Buy,1
9bU1jJgopw9eGYuiFP3j3YtjzaKvgvWm3GSa1w5gB365,1
H722CxJw4ym1mCtvmeyRWW4UuNsi1fmjypPasMtzd2DH,1
9hpuVz4DRxcDpEFcwRrL8jbVErLhmRqKeVoYFoCwDa9i,1
DuRP9FggXcVcoNLvwCtD9EA3LVk8p6qvtLyNiLBrAS97,4
9YNzgxpvK3gY8hJ9J29FUMYht5GwBqvsxbupRL5Jp4eF,1
98i9bAFB39YGKEAFdCrSUp3KJL5gA1gDzQ5ZRq8UkZwg,1
7YVv7VLzpppeeFBQyQXMxiQ7FxpQbRq2ChgYUEmDZ3q7,1
EHZYUcnZG7nomaUpmHLAYW3XTNJME27j61WhXJdGqq2a,1
xvDGmFrXL5CCdo5Vr1fb4tUKfSqzUKgpPb3nrH2gzLW,1
AWocXdA5Bdmcbd3RFQYEJpeY5GX9ea1SwLjDcEV7Mw9P,4
BRneNDE8G3U48vzbZz8nqWsmbj1gaPYrt8q5fzWGfDsg,1
3R2pTUiZGVB8qKniW7NrPfsgkerembbp1Zxeh3DG9Tf3,1
BxD7E7Nau9173SyqJqt6iMX5MAjRksWG88WfRgc3WcEU,1
9jY69amvu42wSdrKPdzPPiJjfoMB5nxaZbU4KV95rS8u,1
2v8i882A3f5tk7Uz312XgtFUgSHnpYjvPzN2JQgir9J8,1
3bAGPYdNGdM2XhSuCJGvUu7nsyVqL566YuAcD1GtKua2,2
TopozN6tRbeghtDFZALdy5THQpWG8GysPtBUqs8YaxV,1
ErKoYy8smCgxLx8jKeCJjUh3V8Sxr6BhPeBpHwXa1c6c,1
Ein28FYxSeaaz2qTrGcPKnaWuXEpfkSukr95mdN4fzWU,1
9SVRqdheCn5x5GncSQJtvaWQ6iCTEm2P4Urv5nUd4Ao4,1
6VAq6qwcC6A7QxU7QXL6d5Y7t6WfmaGqQ4bpKwm3FwCY,2
CygxJqf8RcAbnoQJmmR3VmExEDYWe8gc7Q1LF3fTRHZj,2
5n7GWDEBEqcLUAvsmwp87KBcbusBNMiJFBpFKRhwi7wR,1
EG3rvyrbnGrJFbeFC29uES9Wm3RDDkYatSnP94NARLg2,1
4rU7bnXeuSrmr3d7Yt8T5cyB7tvfBEwkjtZKX31qDvAZ,1
9wAojhMgL2vj2oWiJzNUpTCZRUJKNgdxBmTKaSeF972Q,3
8vbMUanTxC7fJK2z6wSf58VjWZyooVKDPKX3m47Ajnt2,1
7d6Eh26D6J6pHjbxi8pypob3VaZnKvSyafwXXgvYPiEj,1
G56AMGHdKpqEcq5G9heyTL7VKJRrHc5jARcUEAhAJAjk,5
8J2TZMfAWqrtszMRzwqJsSDob73KsYhMw1eWBWiPQr7T,1
H1hW7CgqDL8bgRgBRbubKJgoqDn3hQLXpSsUtXtMdxoH,1
4A4VGzJXViNsXpJQKHQrUqYvF4TbNR9ND7LWAkT2fgcD,1
GnBxxBuxrBMqbthvAYPiz8m8KvS6huoynA5fPi1S33kQ,1
btLAh7CWB8dH9Lw3DqoS7dS9MygmMFvYEME5XxtQVKQ,1
ArY7vmAJdntM6QSskBtRfWe8TmuMY8e4oiuJYDAaHSLd,2
2pGMf9k8bvQ3msxikzx6bhfgL7siuqWz5HaDuw7HXnP3,1
Ch4tdxq5MLiEAVfKfFyBjVw4sja1JmuyF1epUTuuBUiY,1
5qtJ4LuwQBKmP9KYkqHBbMFeVk9LXzyGJAtVGjRJMrwC,1
9VjqFt62WT7JxMxMWHqtWJcdr3Zu2qfm5vtNyyVZgm29,1
6AMM3Fug5wdofziufwAkF63LP2GfkoaqsKKeiEtMqtW5,1
vqaLnVspfYL3X9X55jKb3W9iMMyagjagEn7i1LhfTzX,1
8tg1ncYcGSUdXr9bP8CtBEbmGthvZNgRaxbvpRprXtjD,1
3TokiGkwekhqVy1cD2HRTWLa8MB2YQsg7mepsowME7St,5
9vJUzv3PxcvvRCvBST5DmNUXGvsnPay3Ridx8bWLUbVi,1
5yCN7Y2nDY9WZb5pJaniC7NcPGPPqS3ZSopLzGwtnh45,1
BwMEEmp4apPdeiDBQepeVtWPuVZszXV9ztgQGHj9Duxs,1
7SxNpYBvPkmsRg8oo2yR5gzNRuWBzxsEwQywpe8eXjom,1
8NAXLwBHHSoL2QRfeXirawUb6An3DCLfqf4ewCsyKCYG,1
21x1sVSN49zbYoustbNqyZ9N9fi4BbayLNcz9mGbFgRy,1
QPi7qvRey1jk9XDrS5shA7MxwhExqhrnBHY1YeETUtc,1
8sFmZeZ3sDpNex3kJiF5z3XE59PgNDoP6eXwm97JCAxc,1
DaXmJ45qSABmrFWejf8TU2rx6587jCYHskSpYnmK3VYV,8
F3s5Rki8ZQJHN7BkcS1d2XScn7jmXrSp6qocQpX3RfBo,1
6xjpTvg3S1mirvMrRTjnQmyqDpM2M5BqeHFBg1cSnMsT,1
DPubcbBRjBa5ddR3HbwyCqt5ZAr4ZNP1MNJHMT9T21ox,1
Hze95FdKgDJFGXGy9nXY24nr5wRjohe35bjZXKsYs4yo,1
DyvxkHPTM8Q9VuhJRnTPv8K8PvL7m2dNs9BbEzkJDGjp,1
FWEo8KgNKQYNit9vGEoFjWEWV1ssTziCyvYHGc29JAWp,1
3qj1LFLKbA4FSnVHvaGe1o2Ei71NDXmqD8AsA8DTMznC,1
FwWv4zwLCBuzaUBP94zp7G5VyLDp4mdPz93ktv2xRDJD,1
FotBwdzVsAb29ccgYqJtssUNBjo26AbqGBpQTtypEcq1,1
3YyPrfJYPw4g325segMqAojVzoCeXbPkFQ1Y6F4hHra6,1
67pUPD8ggjHjGiMEEkiKmQmt4HRTL2eZDjorAQmnMPCt,4
ERT599aaQ3Ktakxbp5T9yLryY8FrR2W4vtoAq8zVwGRa,1
A48hpRZm6492woQnbjijQNFXdsME9o8AVynQqNhV3kJa,1
7T3VnF2DnB3D8cYJDWMHYLAyYBBfapHb85hGvtFx7A7s,4
CGLo46wgwTGiBj2eagYMETDpwgEoWYnVXjLFWbZVRzur,1
8LMSPwxz4fivfG7MAJCHEDb1bavSJ1jAkniceCs4xX6e,1
N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M,1
Am2R2bLH8VLgh8i8nxfm4g6vfxRiJxvqzmbGJLFqWvWH,1
3MuEbMP11MPV8ju7kYCyA1ssYx39Gdue8QHujqLnqq6g,1
BqwMvoR2ktaQcWDMsUMeFyes4UEE5yWJaxn6kBVjPpBH,1
3imtPCBVrjg5aRL5DLLfM6h5v2RjBqNnFtBbzVe75br9,1
ATLtvDsjxQc18ApESTVFNYHGRDyBL6THYTfbEHePqavP,1
GrFp7bP4E1gbfMGACBXZNU74p43QvyKQqck47D3Hk47K,1
H543DeDjwpvLd8KQNooDRUqQVpYipMBtjsLpN9Y6ienM,1
CxFpakobJ6WV9LTJPgtZpJqz3y1xVgJL8aH7GYh1sDdH,1
Hkx4F168hestca3h99fks6KHLVgfUZ6NNgBCXaemSuEU,1
D4FsQXcnJrGSKZuoJudnYNNHQajhARTALEsJ2C6fP3E9,1
Fid7VBzNLGRLbeBWJR2CAP4GnVCxmZmURobkQiPw8nXr,1
GnFAPVn3jPuW1jm4EjXQYenjfGe9ZmFz6NusDB1gHECB,1
4Y9waEYXni5uNNT1P2jsxMYASMB12fAHeznNa6bxaCXd,7
fXaDzzeEZaBWdQLtN6vkti9rgt5QuSufwnyAhB1cSiL,1
4AtNt84JunsrTnpTkcsTzqEE7AyMsLmsPEUhits4mezv,1
2Lg9NRwdhBXnTuwUfk9oaUqp7mJZbFbzyBY5tsXGpTZs,1
GBeVRDzw5aBGCJxgvTX5M1j5q7KHMSteXWhPmyUsDidP,1
H1op7jRGPnFVRSVRP3kPQJWipFa57L9WvywembJZUMNf,1
ENSzcgf9xmFkw2nm9eJZJheAbzv6iWgqqUFo7gcX6YHo,1
GQTevBHbLo2SGe9y487ZSpVKDgxffix7GY2ZJxuuPo6G,1
CQDEueW9BJFH6yFRVpp4veKJkD7SNhefALoBjnEwAYmj,1
C6PiACVoEHBPGQk8ArS2rKhruqA49iHvntCEVHzYm1Lv,1
ARipcVwRNPp2D2JmxrPwDV6pR1CyfczCp4TAQSUMWN3Z,1
2F4cBYMg1WXeBvTFoWa3Ec2Vp2WMCecP1jfqoEncWpkK,1
7Di3k6wzfN7GsXJULvqGnu1sjHZECWj8G64DUvrbxVdd,1
8NDk8HSCEDvB9XncJEy6AtYiJFNfqYGTWCUPTH4xF4qh,1
6p99wNL7nhRhLgR5L5BC3rNT3WSkKpH26TBVmYPvKeFa,1
B2RzRUyAf6neBvjy1UZ84uwhY7LsBoEGHP3bX3JvLG9X,1
F9u2ToTQQDYTEzgDEfh9yyfnFuJK9JLZja4M9SyP14mH,1
YpEuA9RetRXD1N1ymrZCXR6PFXsJKNGbLSF6SPqUCCB,1
G8sHs8WGUk1qFTbPvqwnYD8CqeJ6aaYJ6NRgtLo3fidD,1
3S5XGtGF86yfoWbUbSQHugYvLSGsjPAY4wAWXdebhDXX,1
3gBd3pZKexo4waSY5r3pBM9AhvuT3m749yCV7qy5QBEy,1
7iSG5y8f4DHtUEPLcgWQnJso99JRB51opyaRoH8qWZ8r,2
2MEF5UorJwikcHg4r9wkngecrnP1tiH1pjkbk3mpfhGK,1
DrctKTeG1aDRiPBVAwS6v9CFnnSxmnJsyEiDtmGddhWy,1
8rjBZep7iTKBec3fHXh3KaK47gmujbvGQzVqZ18TeS5W,1
5HmXrqyzxT6pn8rmGWomfTTC6mnT5ZHc32jWSU4QSNAT,1
7RNNHvW1WnzaFekQ2tYuVomxsUiCq6DkpQq9Jaht7BWq,1
6T4sQTckrLQvyDA93CPw1e2GTS4oGUk439myAJ7tdztS,1
HQmb2kZpGEiwKnPAVDG2NmiRybjgG7pZ5nTN66c6b6zh,1
3cThpUeMfAAA1g7gS9UcHmexgkEEdpEfP1Y4eej3AiYB,1
4bYEdm4qq6jNkzqTzeF6CJCSgyi3QwdrpYogNeNxn4jK,1
FFAizpnj3We7CzRTopke7zsszVP7s2MavK3Mo2CA8eU5,5
ABDAKRTDRfDUbosQinqXs8NRH3AjeA4s2j2pFukzicFf,1
2wDzHcqt9XqhqPtGGDn9Am4LsETkJhAu5WTUeHn6eSSV,2
CviDTmbJPAvwVC3gxo3tyLPhd7bDEz37sUFsD5StGrBz,1
4khoEeQcJy6xy5ACGNsFqnyHnPtPnr8dtLd1dJoYLAxz,1
7QHqFwzeuqPRvPovEB4cqQoFksj6wRsTTJJAvdTiXiLR,1
GNdnLa2GtYBh6NJGtdAmhYS54bSTxKWe63QAuTDEuKSN,1
ERjJKCbohCjNR6UJ7PeHNZK9a4PnobcTEgqpRfjiXkg4,1
7yCWRyVNmuKHYJwyMk9LumJfX3hf8aXpEPMCVjhJEQSk,1
D7euki5kysgubz3vWWV6TYHq8psbtNvTCxvrChqUpQK3,1
9qSM2SBZcipnSD2Tmdb8yy1ASfEyc9EMwZpf8xfkL3NS,1
BjQp8HZp2tpfATAQarE3SbLVGpvJm3S8iMrdZLYvyJPj,1
EZr2QtRqC5D2LjSRpNVah2DiUdANPe2Rwb9tHBg6fF8N,1
9FoeaEj2rLfPAZyPLMQeZewNAdQjDy9wTtoqPQLXmBp6,1
H1xbewBs4F68Z9z9m7JZVCsSb6feRirBbHWgQF1SEhiX,1
956WH3Kk3EnwAcK3EKptkPHJcMnwNLQ168vtTKA3dNwx,2
4qti6FcMybVSLL2k4rqRQ3Ph1a2jGrzPmBN8Wmt4A5wr,1
4DYicnEiuhaG8P6abLTzmNEsNAvpaw1guFuaKs7QD3QD,1
7dzinRwKrXkKe86LsyJuqLrLhE57tZifuHQ4pAMxPHjg,1
DJoZxprcwAKb59FAhLDGV6GA6Uz8rtKjfUwCupncjYqU,1
6fJ6GEYHyQRPQFyKaMhhfG5ooqjvPRZFbh8CcpeBfcge,5
HhNmJyW5Z3FJ2QfDo9YgVQPwp93KU6omHo7ogAGsc9uV,1
3j4RxHoULCfLVGEUu5XakaLMQVGpeBEvMvXd9ukL8YZU,1
BECHAzzSSzFdFMdQ5H4B6T6WbSWGqU3vy1yViiwz7Wik,1
DWKK1pvdoQmXrj1nnod452tTJyx9r3eWABz1p5e62J86,1
8ASSeM87dQ59iigFDnvVxVszS1QXS3gHsp7DfeR3UvhV,1
DKDcSadLaZvGzbxXyNCkUoEbbzbxGKBXEPucfVwALmGc,1
7LAjESa11JXDQHfPye1JC7jvVjtYhignL8QdL8U6VCgn,1
CjMGU2ntdbEXrgwvX2nVmEgciebNL5MGj7FTHj9Se32q,1
FU5NKuFjLFwXABoegsdD4abKns82oh6z9AqhEHGbkLT9,1
3zAyB1F2RjvaUpYcVNJWFzts3F9c4fumLyKSgB4T1bTY,1
BBVfmajNTPqzuUTZHi1TaC9A86ANFWUBs2WTuapGutC,1
8iDwxgPchLLwaP5HtrcPhpE5cT6wDFsDyhwYXfx6Ue8N,1
Nf8SavyzPD3HEs6T9W1CjEW3cF8RqkMBGamDnmAnKSh,1
CHPUec1dJPjNyFoMtyWsbASrbDmJMcH6gXKhj8sVjSUt,1
ByK9REszeehpyQwZbCU6ndfpUhSunP8m35bvdfNrbQp9,1
3gXY5TJCTyUomVCLwffeBcS3SdXuoFoBnGhaom95ZLgQ,1
kaXUThF9qWrj4ppk4pmgTynzGgGcJEkFEhvoB4Y9N8V,1
59NhXqQH2jkLuG7sNVJCMe75neYZ1gK1pmYgtetUcHpS,1
6YX9MxGByrgYs93bPch4rgRuaxojGiXKsxi8R7EXkJ1r,2
GvjZnpjEJxkhhdVhz9aZwmkpUv4Durx76vR9g2zCK4Ae,1
BeiJYMFonzZthp45hKMUgXw9MpQKeskQoK6CRGQZPWvx,1
3RarUiLy37XerCuMdoJShktaPrhdSZBNZwnGDyYTJJ2k,1
Ajhf9YxAB6naeD49uWJLPzUE236VyTSXjo5GvEcXpwGn,1
F8WQ939iDkHUQ9oNxhKVpQWutzEto9PY5dEKNNAuf4nU,1
FDonRJf9D8ZAywHsf2YCsZLvusF46VsRujdEZEG7DveK,1
6CHxveNCA8wZirZx3fDK6bHDfY89VHHBZDpEpVVNBNS3,1
4wjXdPHFwh4tpvPUtQYzRKiXoR8H7iPErP2HxYMRhfGt,1
6JMsD6ETEzhKw8XsDepQwmkrgs7gnKBtkgxtT2s7ksCv,1
HVk4LHzAXJPkg6WWJMYsr69viDHP6ZwAHiQwrGD7VNVd,1
BKkhc5W7gkNXCW98CYBeFUD8Kb5yK5ZATRaPHQqr4dMG,5
HV7acfQcK3mjZXFYG3hFFaruiSewYK3FoNtpFa45G7a1,1
GEHoyuH7DbirqUw6BnL5pDAD4rEXKAHWrBPvkS1MPHJQ,1
6MCgMvMby28kciWwGZhLcaE9YXJkVZnyH4KxTYY1uU1W,2
DWo2kbTM36348CFHGFg9QDeDzp3HMRTdff5xN21NS2jD,3
C1G9E2h2uLjnZNM1FVFm5SdxCWnGZ2RjidktRA16FJas,1
7mFUcfRYaZEZCYQxNS6voAny78driHz2oDUPPyGbmnkt,1
7AVuVdWJnKKtBvebsmsYfhUAbzWJf6cMfp2UPhN2uerd,1
3xnBrDYko92Pj531G5FRtGVD5EAhpV5Dsj8zX2tuowN3,1
5VrYihmR9bQPpDzjmKuFzjS2fXHW1aTnZreHjdooqREP,1
EV3uKB4BsdTjrFAhPcFYUyKZrCSBjYBABxas1QCFC299,1
MUSHfNcWWrDggTGgCVMLqcmDpJCJzo88Fsdsa51q8Qz,1
D9Eo1iGGjyyZRE6np1rXkG4eF41AxnWAivACGxqiXYQY,1
GEBPDMFrDunvZUh1usuyPzAwyxVS2xi1iwfAm69sdRip,1
9SkXry2jzyuthzDiJfqUgcBo9rM6vqu4BpNEZEZcF4rp,1
Ci8EmdzjMduujh3GNs1AhgGLA7YHZBGeoExyQDUEmL14,1
36FZF1WMkqe9epLwjcfeftch5RrJSH3KKY8hiuMjBj8T,1
9ZYSBZqg1hNkSZVPuGnC8meVm6k3R5K9sQhAymFjrybX,3
25FZNEWdTAooS9xw6cAskmwhZWfovYwtgeQY29fhYXBL,1
7FUjffHVu6aCR1cBnjauoEH6bvTKfUuizqvAXeUG8kHp,1
4Qy6WxBvvHPC6ARBWqMxw9nfmDgwQ38ghxDRUK2HERSe,1
4dZBuyvoeZ4JQmjD7r253GW4z3Chsr2p4inXeZwgPVtd,2
FHhhWS6LBtXGHvcHKaZTnLaRfU2HB7q7odv8t6B7hvm,1
C4BWvTPm2nCbqhLSuyc7PPWUoVVe1pjrYhdco3MbZLaL,1
FuUwGYYJ5JMZjqSHveRSzHnMoZycEwKTeugBeWNBPFWP,1
5kULh8VyLdmGa8esvV68MHQetEL9nLaUDW9jKZWrWogu,1
AP4bgDbfMAfEue84kTt5VcSbYYxeqEFsEN2FB4C4akK,1
6PdkWCAGbHiWsVfM2md1Z8RiU25NLBwgiwU7MnDL7pTv,2
D7fWxTd2dPZ94AkQKMLsoy8ZF3niwuq4YEiSHRJ2vTNH,1
4YFuautheXQywCvLnE5bdTdw981zgjU8ABNT3X2PBsFF,1
E5AY1Mgk1K5SAkjEf4rFSoVk3dSWksn3TzgpK77gUSNW,1
DBbVemc3JzCUMD3mEAAZLBb1VZ4586zdFPH68xBqWfs1,1
6NgLxVfi37dy54CHrCKszsSRpJ7YABuZhfJYqFofLkne,1
ExdYMJX43NxE56HEpzz8ZgvZFiL4pXAchbrQdDhHL3rQ,1
9Vx4MZES94dvZJ6esrM86oRGWppNk1b6kmYurSrfD3un,1
a4QFvRzzacDjgxEhwVDdSfCsmgj7Df5dVeAps68BJgf,1
5GN1kMdmp96hFu4tYk6iS3JiXms26UswKhQNphGLm6gw,1
21RagaxtTFPLXGT11GQDwmYLWNsMtTo9dqr1espNeHRf,1
9XMyEUWRbNRs2XpBZNSTnX1hRgmUZQy7tozbnczu4ukM,1
2XiuJmM7TVywjqGaGCWxLVSDz4kKZytYHMtxesif7YER,2
Ef4t8wgUwkEsijAPgYetssYa1Nga8sR8tbEoXJW4UMve,1
FgSXCa6riezn9MTgcLvMUt87zUDJBSmjeNFLnX1Gba8p,1
9Q87hXy6GYwNQrrwobaCTsnVUdfbQ6zLeYULYdJUitgb,2
12LNmwQgJvbgrXPuadRfLMaoWoHaFMtovyXJnTn6XbSu,1
8rwJDUraq7CbCF3BFYtpBRc1hMHe9ZnitsvJr7YS1Ccy,1
DUtZYjdG2roB8gpdJ3vEPcH7rwbL9SRmC2EXCbbH4KLM,1
AVtjxHgMtZqZUmzxE5DhKnyPszbkZa71fVaV8UskmbC3,1
