owner,balance
5fPeiibACJDbQ2JZJNc7HMKHXvtC6KrnVJR61aANJPCN,7962682
4AxQ7WwJ26xaSL7zCaNuxzag1LyxCBCpctyAAJucemHv,6252016
5Wy37hxeMo8BAiX7zRAH8pADaZZuvR6PVTJzCf827xjK,1181713451
6aFPXnkPiKGmxy8Y3ZFQBQrXcGqksbijqmjkJgAAGk6b,556116868
9MUH87M9PMVcvReydMPaFhBjY79aw8qYR39FCXHisprp,984370942
CoiwXEAkonAdp2Jg2yudt8ePLfcR58EQqrHUK1iXTVNY,1184350884
5ZmPeqNyUcT6TjggijcioLSihoykoy2bizUKZUGmePsc,1185619895
E1fiTZUyfppmqdPu8dS4edocVsMoAEpdjx1haffqvSix,1184573295
AiGzL942LMqHdpwHbPxBHFDify6K7hx8H85EhYvEQd4a,87878
EpUedTAcWafPbJr9ZgGTYuhTc8PnFagBB8QhnrMcc3Ra,1185295910
SWDNCSZJKaZmn4V9D739bW66o4KTExr7PyALipJ9H6B,1188347644
A4sASTDEBkarGh7EPDkX9w2sTYMCP6YMmPTQZnJ4gY9n,19672624
GPqB8VmHfEhuy9oHESXyCd7hrLRSwjSzYU7y38tgVoK2,465500
EWaKSrd8kggguyViB2FSBqji3K4F2HYpaWiNtpbTHiRa,49198
9XSSwZh9Cueeh1x9KoDUZzgSMG4jg9xqn7UXFGzDrei1,1188977980
8XYz7xjompENHFN5itp5b4wxFSsWyL89HMzEvdKoXcq1,1189301116
GFALQfdHiWkdSeb3ecZ6armbM1B9GcyjkGWaX7CTr6UV,83175144
5uNrBNZ2yd9SK46YoTXznYNinADVNduYqH2rP3nBqHhQ,1462390
AT7vp9FjWi7ePdtkKLJfqp33DMvfsc6ZniU2yH2ZTvT,1189302320
AQNtKDg6ySE8jygdcsQhoy1pfcT8Jhbg9UkYPXLpMQcm,1
BA8u3QPUQzEmTtthN4Z4cwVAMv9mQouQpd3BipW5hpGy,79965366
3Fv9YppPQ8Z1p3j3vDT8TGhVqmdNnREmQsW94Wvhg8nh,4
8hPxERReuEyx98XvNRsokrmkjEMp21g1LdoDHDsbLMpu,1746687
D3fnMfBaRDwzoXBkY6EKEvFp3RaURk8Gzi7qcbHRpgYT,4805387
atQrN26nFGm2EfmdnFy91HwFAL1JrCN8w6FospPbPcS,1189396366
FkW7BJWgMU84nmDq2G6PrFVkdFuzeNTJnVM2mfA2HTE1,1
CnAWYcgKRREiou3nVjNjL3QJynxBppZrdVc211vdudX8,604443
42ggcNubWzL6GS9FmJTrAXWk9SEvjqTmvSavj1GLUExn,1189257997
