owner,NAMASTE,Sensei
CUxB4DAS76FDXHXk1DX5oon5RJxNE3EBqVyQpdUZ28s8,1,0
5P2NAiHH5x8XkTvbNqLZFjX6JBHKaEsckep9vWug7VyB,1,2
Dsq8ZfE56d9LhdDLJQBFoQL6GkZdu3m9iGC5wc2smXyC,1,0
B9FYjTsrLjqRzZFUBiC3x2LdTE7GBNb6yPcjd8q43jm3,1,2
AKaJfz5XM2pS6geqiGqwqwBagY4faqA1TG7qqVdipCt1,1,3
3drnafq7HqismZpmH1Jp7d795jNgQucHX7e1ivjzXAXB,1,4
6uMboxpv6qtTLubvbYt7pwYdvCyDo7TzaBZpmr1H7js5,1,0
2pjo4Lx1agEBhRf4kT4B8gH7UFYVd5SBAeVeDApKWvwq,1,2
JSBv4NjAkW1cs2MkKqrLo6tdKkqhPunVXwSoXLydF6T,1,1
NAMAwQdE7iDocuZWvbWHy74MhXyKFVfgmkphAoozzaW,1,0
6bLKNjr9hK4HZbZ8iimTynbhLiJfuCzmmmgfgFspSYY3,2,12
49wTveYezYS8AFvd93KXuSP4eVmvh9ZwiHp23Lj9TWM1,1,2
D3ssUWuKoou1PRyUVDfCqWtZyJw2gxcrNQ2G9QCkFq2w,1,1
CeHJA69eKaFty6texvD2bB367v2UAuyvcSQjBsovb7am,1,2
AVSFyeDdaVRU2bNpoYZjNZUqtbT2tzTLkP4SRYNMqShu,1,1
DgKWmssQt2DJHHi3ykRkg4S1r7Ed1ozZEwdJdUwpb2a6,1,0
Dc2nkZBMFhwJrf6gdjvuBMXtowVDEaAdMsDGJPsKwJei,1,2
95iR3EfYnWmuTtUWXQ8C7D6nRYbdXdVgNLsjtWN1By54,1,2
BACJ68NuawFRuMbg5d4ooeSwoXZrHUeif88ocw7tBM5P,1,1
FSkUFA3rKv4pqQe1qA3QJbCf1ZDLNqYea3uwkCtAc4S6,1,1
HUp5pi5zco7QP47GJtskUfqsuWnDHit7Lgc5ZQcCk5h6,1,2
AzRmA3VrjiHM5dfFG6kPCwTuyhRpTnUmSRut9qNFudVy,1,1
EzDfrh6VS6LzmfuNGaXkVxGwkQJLNCsMqeLdYRG4Y8GD,1,1
2iy1ejLZtrjpmNeUveBUeMJe395ECrFpXcNved3BBkwo,1,0
AZJX2vjFv5RDrDxK4xtrWQZ1m9gpX5YrubQXyoLDf7MP,1,6
2rBJYTNXR7XFuecD5xxQhgLS2T47g7pSi4sWUd1B5czn,1,1
7bSrmPXYSg73BiDkhoDs7DHRTJ8crhWPHkymVboSkkd4,7,14
2R2vmFRhKnwdLo6Rhr9u5o9jr7GGd4HSxTvKNQHnrnpL,1,0
FxgNeoRwdLHq1oSAwSxDvSfSFrBfygnR3wUFMfVYzrNV,1,1
AKqTBz4Pz1HQYTWMhxBuLJ4MZCozQBunhRT5DuZWe44U,1,1
